"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","projectils_label","projectils_label_prop","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype","seurat_cluster_projectils_label"
"CD8-like_CD8-41BB","2",43,"slingPseudotime_2",34.5506934379963,31.4524232288492,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells","2:CD8_EffectorMemory"
"CD8-like_CD8-41BB","3",231,"slingPseudotime_2",23.4369392669675,22.7917798510544,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells","3:CD8_Tex"
"CD8-like_CD8-41BB","4",164,"slingPseudotime_2",19.7429710455223,20.2416976984196,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells","4:CD8_NaiveLike"
"CD8-like_CD8-41BB","6",65,"slingPseudotime_2",9.74338435321493,9.62019350765291,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells","6:CD8_NaiveLike"
"CD8-like_STOP","0",82,"slingPseudotime_1",25.3238335237985,25.0379492117527,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)","0:CD8_NaiveLike"
"CD8-like_STOP","1",1,"slingPseudotime_1",13.2119163711436,13.2119163711436,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)","1:CD8_Tex"
"CD8-like_STOP","2",67,"slingPseudotime_1",15.223582997612,17.4867097031288,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells","2:CD8_EffectorMemory"
"CD8-like_STOP","3",1,"slingPseudotime_1",17.3378035876059,17.3378035876059,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells","3:CD8_Tex"
"CD8-like_STOP","4",25,"slingPseudotime_1",31.4673307474759,30.1534611717468,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells","4:CD8_NaiveLike"
"CD8-like_STOP","6",15,"slingPseudotime_1",4.45197861101497,8.06397129964774,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells","6:CD8_NaiveLike"
"CD8-like_STOP","0",82,"slingPseudotime_2",22.8653380947625,23.1427114651986,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)","0:CD8_NaiveLike"
"CD8-like_STOP","1",1,"slingPseudotime_2",12.9552263519558,12.9552263519558,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)","1:CD8_Tex"
"CD8-like_STOP","2",67,"slingPseudotime_2",14.44250773956,14.2863748270122,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells","2:CD8_EffectorMemory"
"CD8-like_STOP","3",1,"slingPseudotime_2",16.9809070071908,16.9809070071908,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells","3:CD8_Tex"
"CD8-like_STOP","4",5,"slingPseudotime_2",22.6959873532108,21.80428913646,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells","4:CD8_NaiveLike"
"CD8-like_STOP","5",14,"slingPseudotime_2",31.5381057114003,34.692549369677,"Cytotoxic CD8 T cells","CD8_Tex",0.300469483568075,"T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5:Cycling / proliferating CAR T cells","5:CD8_Tex"
"CD8-like_STOP","6",15,"slingPseudotime_2",3.57007174243525,5.99856978331588,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells","6:CD8_NaiveLike"
"CD8-like_STOP","0",3,"slingPseudotime_3",20.6701571180276,22.6988232969917,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)","0:CD8_NaiveLike"
"CD8-like_STOP","1",1,"slingPseudotime_3",13.5393981030844,13.5393981030844,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)","1:CD8_Tex"
"CD8-like_STOP","2",67,"slingPseudotime_3",14.4797919945389,15.9758822176893,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells","2:CD8_EffectorMemory"
"CD8-like_STOP","3",11,"slingPseudotime_3",28.8111202401785,31.2282824729683,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells","3:CD8_Tex"
"CD8-like_STOP","4",1,"slingPseudotime_3",4.94705373659147,4.94705373659147,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells","4:CD8_NaiveLike"
"CD8-like_STOP","6",15,"slingPseudotime_3",3.43637284753816,4.4730003678923,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells","6:CD8_NaiveLike"
"CD8-like_STOP","0",2,"slingPseudotime_4",19.8138010054172,19.8138010054172,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)","0:CD8_NaiveLike"
"CD8-like_STOP","1",24,"slingPseudotime_4",30.1710917506789,29.4583543879671,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1:Activated effector CD8 T cells (stress)","1:CD8_Tex"
"CD8-like_STOP","2",67,"slingPseudotime_4",15.2181528158573,16.2077502277726,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells","2:CD8_EffectorMemory"
"CD8-like_STOP","3",1,"slingPseudotime_4",25.5137116523913,25.5137116523913,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells","3:CD8_Tex"
"CD8-like_STOP","4",1,"slingPseudotime_4",4.95248398297941,4.95248398297941,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells","4:CD8_NaiveLike"
"CD8-like_STOP","6",15,"slingPseudotime_4",3.42787931714859,4.43889385465868,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells","6:CD8_NaiveLike"
